1976 US Standard Atmosphere, tabulated
Altitude(km)	Pressure(pascals)	 T (deg K	 Rho(kg/M^2)	mu(Nt-sec/M^2) 	 SonicVelocity(m/sec)`	
27.40000000	1738.02167234	224.04999390	0.02702390	0.00001462	300.06655038
27.60000000	1685.84185039	224.24999390	0.02618920	0.00001463	300.20044889
27.80000000	1635.27303547	224.44999390	0.02538099	0.00001464	300.33428771
28.00000000	1586.26411960	224.64999390	0.02459840	0.00001465	300.46806692
28.20000000	1538.76565953	224.84999390	0.02384061	0.00001466	300.60178658
28.40000000	1492.72982112	225.04999390	0.02310681	0.00001467	300.73544679
28.60000000	1448.11032560	225.24999390	0.02239622	0.00001468	300.86904762
28.80000000	1404.86239766	225.44999390	0.02170808	0.00001470	301.00258915
29.00000000	1362.94271537	225.64999390	0.02104166	0.00001471	301.13607147
29.20000000	1322.30936177	225.84999390	0.02039627	0.00001472	301.26949464
29.40000000	1282.92177810	226.04999390	0.01977122	0.00001473	301.40285874
29.60000000	1244.74071864	226.24999390	0.01916585	0.00001474	301.53616386
29.80000000	1207.72820716	226.44999390	0.01857953	0.00001475	301.66941008
30.00000000	1171.80004120	226.64999390	0.01801091	0.00001476	301.80259747
30.20000000	1137.01697403	226.84999390	0.01746087	0.00001477	301.93572611
30.40000000	1103.29568555	227.04999390	0.01692810	0.00001478	302.06879607
30.60000000	1070.60287142	227.24999390	0.01641203	0.00001479	302.20180744
30.80000000	1038.90629990	227.44999390	0.01591213	0.00001480	302.33476029
31.00000000	1008.17477639	227.64999390	0.01542787	0.00001481	302.46765470
31.20000000	978.37810921	227.84999390	0.01495876	0.00001482	302.60049075
31.40000000	949.48707653	228.04999390	0.01450430	0.00001484	302.73326850
31.60000000	921.47339435	228.24999390	0.01406403	0.00001485	302.86598805
31.80000000	894.30968567	228.44999390	0.01363749	0.00001486	302.99864947
32.00000000	868.01004410	228.64999390	0.01322487	0.00001487	303.13125283
32.20000000	842.48621151	229.20999389	0.01280463	0.00001490	303.50223400
32.40000000	817.77246339	229.76999388	0.01239872	0.00001493	303.87276227
32.60000000	793.84120786	230.32999387	0.01200662	0.00001496	304.24283928
32.80000000	770.66585660	230.88999386	0.01162783	0.00001499	304.61246668
33.00000000	748.22078603	231.44999385	0.01126187	0.00001502	304.98164611
33.20000000	726.48130012	232.00999384	0.01090826	0.00001505	305.35037918
33.40000000	705.42359465	232.56999383	0.01056657	0.00001508	305.71866752
33.60000000	685.02472300	233.12999382	0.01023637	0.00001511	306.08651273
33.80000000	665.26256328	233.68999381	0.00991724	0.00001514	306.45391641
34.00000000	646.11578682	234.24999380	0.00960879	0.00001517	306.82088013
